panel,observation_id,coarse_thickness_nm,refined_thickness_nm,objective,normalized_objective_across_E3_candidates,eligible,status
impulsive,stage28:A:520:impulsive:188,350.0,350.1078795735498,974.5614661428656,0.9869428927081305,False,inner_nonconvergence
impulsive,stage28:A:520:impulsive:188,375.0,375.296094837763,975.2465522400535,0.9877944966417185,True,ok
impulsive,stage28:A:520:impulsive:188,395.0,397.6384968667565,975.2465522399515,0.9877944966415917,True,ok
impulsive,stage28:A:520:impulsive:188,405.0,407.4485213279237,975.2465523168551,0.9877944967371876,True,ok
impulsive,stage28:A:520:impulsive:188,420.0,419.7718701304423,985.0654600745609,0.99999999981822,True,ok
impulsive,stage28:A:520:impulsive:188,435.0,437.95424958575614,975.2465538523455,0.9877944986458961,False,inner_nonconvergence
impulsive,stage28:A:520:impulsive:188,455.0,458.80650971307205,948.3749969434225,0.9543915093585591,False,inner_nonconvergence
impulsive,stage28:A:520:impulsive:188,480.0,483.4212749885981,812.0051141682484,0.7848754017175483,False,inner_nonconvergence
impulsive,stage28:A:520:impulsive:188,520.0,520.1104230478086,180.5998275862356,0.0,True,ok
impulsive,stage28:A:520:impulsive:188,570.0,566.4469162919942,957.2855957421577,0.9654679288316368,False,inner_nonconvergence
impulsive,stage28:A:520:impulsive:188,590.0,590.3617983975527,975.2465528409313,0.9877944973886463,False,inner_nonconvergence
impulsive,stage28:A:520:impulsive:188,600.0,598.6650883698494,975.2526786691037,0.9878021121678537,False,inner_nonconvergence
impulsive,stage28:A:520:impulsive:188,625.0,624.0919113218861,975.2465523382721,0.9877944967638101,False,inner_nonconvergence
impulsive,stage28:A:520:impulsive:188,635.0,634.6884753356628,975.2465649463096,0.9877945124363722,False,inner_nonconvergence
impulsive,stage28:A:520:impulsive:188,650.0,653.0472415539476,985.0654602207967,1.0,True,ok
impulsive,stage28:A:520:impulsive:188,670.0,674.8268712007849,916.3798212674342,0.9146195484716699,False,inner_nonconvergence
impulsive,stage28:A:520:impulsive:188,680.0,679.4880440698984,840.4410407752877,0.8202229982505586,False,inner_nonconvergence
impulsive,stage28:A:520:impulsive:188,700.0,700.0,815.7766912983336,0.7895637028420271,False,thickness_boundary
baseline_drift,stage28:A:680:baseline_drift:005,350.0,350.0,626.4766409037014,0.9801748366494888,False,thickness_boundary
baseline_drift,stage28:A:680:baseline_drift:005,405.0,402.5328429026363,636.3036838596688,1.0,True,ok
baseline_drift,stage28:A:680:baseline_drift:005,420.0,421.87721980924505,636.3036838458871,0.9999999999721967,True,ok
baseline_drift,stage28:A:680:baseline_drift:005,450.0,450.2018665082692,524.7253756204451,0.7749009343779204,True,ok
baseline_drift,stage28:A:680:baseline_drift:005,490.0,488.64362931531707,406.44841036196624,0.5362879388553777,True,ok
baseline_drift,stage28:A:680:baseline_drift:005,560.0,560.3027651953206,636.3036838452219,0.9999999999708548,True,ok
baseline_drift,stage28:A:680:baseline_drift:005,615.0,616.4396073027098,636.3036838493822,0.9999999999792477,True,ok
baseline_drift,stage28:A:680:baseline_drift:005,625.0,626.629416257294,636.3036838458979,0.9999999999722184,True,ok
baseline_drift,stage28:A:680:baseline_drift:005,680.0,677.8334337638568,140.61833780606366,0.0,True,ok
