scenario,material_id,true_thickness_nm,E3_minus_E0_mean_delta_AE_nm,E3_minus_E1_mean_delta_AE_nm,n
gaussian,A,380.0,0.012483839442845692,2.0159148152173307e-05,200
gaussian,A,520.0,0.012716749773747437,0.00031596789950412955,200
gaussian,A,680.0,0.01116347068223547,0.00032817223467588626,200
gaussian,B,380.0,8.42598856948513e-05,1.9722249977008177e-05,200
gaussian,B,520.0,0.00010550000503087379,-6.186186572791012e-05,200
gaussian,B,680.0,0.00026835350290355006,-7.526531927737792e-05,200
gaussian,C,380.0,0.01752472108484312,0.0005056968157884982,200
gaussian,C,520.0,0.017489209753345003,0.0006807925861215877,200
gaussian,C,680.0,0.0055380177263305175,0.00023649415988302288,200
impulsive,A,380.0,-0.6302403381297796,-0.014042090060934527,200
impulsive,A,520.0,-0.613443736600189,-0.007642356479879595,200
impulsive,A,680.0,-0.5709956913140439,-0.003480376870719507,200
impulsive,B,380.0,-0.030929557297617975,-0.00056274403622382,200
impulsive,B,520.0,-0.029017140722129967,-0.0009718509545501719,200
impulsive,B,680.0,-0.03219348187344166,-0.0016866802840331651,200
impulsive,C,380.0,-7.203821214451699,-0.05453021624076882,200
impulsive,C,520.0,-1.1204842234395216,-0.015362346579196919,200
impulsive,C,680.0,-1.0148969202034408,-0.02442902622520933,200
baseline_drift,A,380.0,-0.012649524574569547,-0.0020875607140953883,200
baseline_drift,A,520.0,0.30270083480213117,0.1531909448231582,200
baseline_drift,A,680.0,0.1338058853375611,0.04573898402443773,200
baseline_drift,B,380.0,-0.0011910318062439316,-0.00012409259075355536,200
baseline_drift,B,520.0,0.027148261638111536,0.013005905837031833,200
baseline_drift,B,680.0,0.011822328212487037,0.005917806275160155,200
baseline_drift,C,380.0,-0.026711894277994235,-0.008747599180737869,200
baseline_drift,C,520.0,0.7625637992915278,0.39890326156632744,200
baseline_drift,C,680.0,0.25495529297539066,0.05780964934641022,200
mixed,A,380.0,-2.0760533843585196,0.010141361559608996,200
mixed,A,520.0,0.004225405981945291,-0.012649261384705724,200
mixed,A,680.0,-0.3104702944899475,-0.009329426201011869,200
mixed,B,380.0,-0.0035879711521891967,0.0004138365915122268,200
mixed,B,520.0,0.007497390875764724,-0.00039761348525758233,200
mixed,B,680.0,-0.017002822494437738,-0.0008714348685970194,200
mixed,C,380.0,-24.027798241638678,-0.002082200917959356,200
mixed,C,520.0,-0.09642016987331173,-0.03594705331098106,200
mixed,C,680.0,-0.5846792729812137,-0.07052621870270512,200
