wavelength_nm,n,k
210,1.53961566632715,0
211,1.53900350876793,0
212,1.53840001300052,0
213,1.53780499413937,0
214,1.53721829939667,0
215,1.53663977561431,0
216,1.53606923672079,0
217,1.53550659392918,0
218,1.53495169305096,0
219,1.53440434696986,0
220,1.53386446598127,0
221,1.53333189492686,0
222,1.5328064783266,0
223,1.53228812564739,0
224,1.53177671349319,0
225,1.5312721182076,0
226,1.5307741832158,0
227,1.53028281699822,0
228,1.52979789514824,0
229,1.52931932571324,0
230,1.52884698384109,0
231,1.52838074444819,0
232,1.52792054767255,0
233,1.52746623530604,0
234,1.5270177798572,0
235,1.52657498996938,0
236,1.52613783781151,0
237,1.52570619714282,0
238,1.52528000708067,0
239,1.52485914103566,0
240,1.52444350502077,0
241,1.52403307050733,0
242,1.52362771043323,0
243,1.52322733037456,0
244,1.52283183575863,0
245,1.52244119755083,0
246,1.52205532093942,0
247,1.5216741109712,0
248,1.52129753828763,0
249,1.5209254419596,0
250,1.52055782527334,0
251,1.52019459280712,0
252,1.51983568190775,0
253,1.51948102982564,0
254,1.51913054080286,0
255,1.51878415187939,0
256,1.51844183293269,0
257,1.51810348790852,0
258,1.5177690865214,0
259,1.51743856547802,0
260,1.51711182844245,0
261,1.51678884489569,0
262,1.5164695512934,0
263,1.51615388401046,0
264,1.51584181232739,0
265,1.51553323949031,0
266,1.51522816763681,0
267,1.51492649986724,0
268,1.51462820520417,0
269,1.51433325262308,0
270,1.51404154500463,0
271,1.51375308422477,0
272,1.51346777302987,0
273,1.5131856132015,0
274,1.51290654040493,0
275,1.51263049023878,0
276,1.51235743129724,0
277,1.51208733213396,0
278,1.51182016126258,0
279,1.51155582100034,0
280,1.51129434591677,0
281,1.51103563822962,0
282,1.51077966626507,0
283,1.5105264314139,0
284,1.51027583573333,0
285,1.51002788053731,0
286,1.50978253400945,0
287,1.50953973117636,0
288,1.50929947326566,0
289,1.50906169522654,0
290,1.50882636509308,0
291,1.50859348401085,0
292,1.50836298681717,0
293,1.50813480829799,0
294,1.5079089826644,0
295,1.50768544464686,0
296,1.50746416209474,0
297,1.50724513600144,0
298,1.50702830099504,0
299,1.50681362483885,0
300,1.50660107526843,0
301,1.50639068637588,0
302,1.5061823594771,0
303,1.50597606222675,0
304,1.50577182866462,0
305,1.50556962642051,0
306,1.50536935666965,0
307,1.50517105340224,0
308,1.50497468417246,0
309,1.50478024973748,0
310,1.5045876511523,0
311,1.50439692235793,0
312,1.50420803082552,0
313,1.50402091075889,0
314,1.50383562931592,0
315,1.50365208741916,0
316,1.50347025244931,0
317,1.50329019154653,0
318,1.50311177229107,0
319,1.50293506180407,0
320,1.50275999414411,0
321,1.50258656988541,0
322,1.50241475631731,0
323,1.50224455399246,0
324,1.50207589688404,0
325,1.50190878551262,0
326,1.50174322039422,0
327,1.50157920204031,0
328,1.50141666435404,0
329,1.50125557451088,0
330,1.50109596628597,0
331,1.50093780683944,0
332,1.50078109662935,0
333,1.50062576947086,0
334,1.50047182579347,0
335,1.50031929934931,0
336,1.50016809058185,0
337,1.50001826655544,0
338,1.49986972767637,0
339,1.499722507666,0
340,1.49957660691276,0
341,1.49943199245581,0
342,1.4992886313182,0
343,1.49914652385949,0
344,1.49900563708079,0
345,1.49886600468488,0
346,1.49872756029907,0
347,1.49859030425263,0
348,1.49845423687212,0
349,1.49831935848136,0
350,1.49818560265409,0
351,1.49805300306765,0
352,1.49792152664951,0
353,1.49779117369545,0
354,1.49766194449882,0
355,1.49753377257409,0
356,1.49740669158382,0
357,1.4972806684119,0
358,1.49715570332548,0
359,1.4970317965895,0
360,1.49690888166247,0
361,1.4967870255985,0
362,1.49666616184104,0
363,1.49654632404079,0
364,1.4964274456184,0
365,1.49630952680253,0
366,1.49619260123822,0
367,1.49607660231687,0
368,1.49596159710067,0
369,1.49584748554122,0
370,1.49573430127145,0
371,1.49562204450189,0
372,1.49551068200799,0
373,1.49540021398955,0
374,1.49529064064482,0
375,1.49518192872974,0
376,1.49507407843224,0
377,1.49496708993877,0
378,1.49486096343439,0
379,1.49475566565242,0
380,1.49465119676799,0
381,1.49454755695495,0
382,1.49444474638576,0
383,1.49434269831254,0
384,1.49424147981509,0
385,1.49414102413393,0
386,1.49404136488921,0
387,1.4939425022403,0
388,1.49384436940399,0
389,1.49374699999699,0
390,1.49365036069356,0
391,1.49355448511261,0
392,1.49345933992191,0
393,1.49336489177963,0
394,1.49327120778511,0
395,1.49317818762531,0
396,1.49308589839969,0
397,1.49299430675405,0
398,1.49290341281678,0
399,1.49281318322153,0
400,1.49272365158458,0
401,1.4926347510359,0
402,1.49254654868785,0
403,1.49245897766069,0
404,1.49237207156929,0
405,1.49228579702415,0
406,1.49220015413483,0
407,1.49211517651956,0
408,1.49203079726928,0
409,1.49194704999876,0
410,1.49186390129931,0
411,1.49178135127102,0
412,1.49169940001329,0
413,1.49161804762479,0
414,1.49153729420353,0
415,1.4914571398468,0
416,1.49137755112513,0
417,1.49129849460127,0
418,1.49122003741903,0
419,1.49114214614167,0
420,1.4910648208579,0
421,1.49098802812095,0
422,1.49091176801312,0
423,1.49083607415437,0
424,1.49076091309103,0
425,1.4906862513621,0
426,1.49061215612915,0
427,1.49053856038682,0
428,1.49046546420908,0
429,1.49039290121766,0
430,1.49032083794061,0
431,1.49024927445042,0
432,1.4901782108191,0
433,1.49010764711815,0
434,1.49003754986242,0
435,1.48996795267549,0
436,1.48989882206813,0
437,1.48983015810528,0
438,1.48976199441387,0
439,1.48969426393472,0
440,1.48962700029236,0
441,1.48956020355003,0
442,1.48949387377055,0
443,1.48942797744638,0
444,1.48936251463504,0
445,1.48929751896658,0
446,1.4892329233535,0
447,1.48916879499941,0
448,1.48910506681026,0
449,1.48904180599471,0
450,1.48897891187216,0
451,1.48891648523347,0
452,1.48885445897173,0
453,1.48879283313697,0
454,1.48873160777892,0
455,1.48867078294699,0
456,1.48861035869028,0
457,1.4885503686473,0
458,1.4884907456884,0
459,1.4884314898577,0
460,1.48837263479278,0
461,1.48831418054119,0
462,1.48825609355379,0
463,1.48819837387359,0
464,1.48814102154332,0
465,1.48808407020571,0
466,1.48802745270375,0
467,1.48797123628113,0
468,1.48791535377521,0
469,1.4878598052236,0
470,1.48780465787683,0
471,1.48774984456393,0
472,1.48769536532181,0
473,1.48764122018718,0
474,1.48758744280798,0
475,1.48753399961144,0
476,1.48748089063356,0
477,1.48742811591014,0
478,1.48737567547678,0
479,1.48732356936882,0
480,1.4872717640028,0
481,1.48722032664969,0
482,1.4871691564849,0
483,1.48711835440223,0
484,1.48706781956977,0
485,1.48701761926347,0
486,1.48696771989173,0
487,1.48691815511144,0
488,1.48686885770064,0
489,1.48681989494357,0
490,1.48677119961344,0
491,1.48672280536756,0
492,1.48667474586743,0
493,1.48662695387915,0
494,1.48657942942851,0
495,1.48653220617651,0
496,1.48648528415185,0
497,1.48643862974561,0
498,1.48639227662148,0
499,1.48634615752859,0
500,1.48630037341044,0
501,1.48625482337317,0
502,1.48620954108093,0
503,1.48616456020186,0
504,1.486119813474,0
505,1.48607536820984,0
506,1.48603115714308,0
507,1.4859872139423,0
508,1.48594353863126,0
509,1.48590009758395,0
510,1.48585692447153,0
511,1.48581401931736,0
512,1.48577134849209,0
513,1.48572894566943,0
514,1.48568677721786,0
515,1.48564484315734,0
516,1.48560317716408,0
517,1.48556174560333,0
518,1.4855205484947,0
519,1.48547958585771,0
520,1.48543885771175,0
521,1.48539836407612,0
522,1.48535810496998,0
523,1.48531808041241,0
524,1.48527829042237,0
525,1.4852387013541,0
526,1.48519938055468,0
527,1.48516026071263,0
528,1.48512134184382,0
529,1.48508265763223,0
530,1.48504420809618,0
531,1.485005959584,0
532,1.484967945782,0
533,1.48493013303657,0
534,1.48489252136308,0
535,1.48485514445012,0
536,1.48481796864127,0
537,1.48478099395163,0
538,1.48474422039623,0
539,1.48470764799,0
540,1.48467127674782,0
541,1.48463514036278,0
542,1.48459917149377,0
543,1.48456340383292,0
544,1.48452783739477,0
545,1.48449247219378,0
546,1.48445730824433,0
547,1.48442231187759,0
548,1.48438751678933,0
549,1.48435292299372,0
550,1.48431853050482,0
551,1.48428430565037,0
552,1.48425024844195,0
553,1.48421639257893,0
554,1.48418273807507,0
555,1.48414925125474,0
556,1.48411593212929,0
557,1.48408281440087,0
558,1.48404986439136,0
559,1.48401708211193,0
560,1.4839844675737,0
561,1.48395205448155,0
562,1.48391980915412,0
563,1.48388773160236,0
564,1.48385582183715,0
565,1.48382407986931,0
566,1.48379250570961,0
567,1.48376109936876,0
568,1.48372986085743,0
569,1.4836987901862,0
570,1.48366788736563,0
571,1.48363711870524,0
572,1.48360651791504,0
573,1.48357611870777,0
574,1.4835458199867,0
575,1.48351572286916,0
576,1.48348575995862,0
577,1.48345596496829,0
578,1.48342633790829,0
579,1.48339684508226,0
580,1.4833674864982,0
581,1.48333829587185,0
582,1.48330927321311,0
583,1.48328038482278,0
584,1.48325163070869,0
585,1.48322304458905,0
586,1.48319459276253,0
587,1.48316630894853,0
588,1.48313815944436,0
589,1.48311014425767,0
590,1.48308226339607,0
591,1.48305451686713,0
592,1.48302693839323,0
593,1.48299949426829,0
594,1.48297218449976,0
595,1.48294500909508,0
596,1.48291796806162,0
597,1.48289106140674,0
598,1.48286428913775,0
599,1.48283768498106,0
600,1.48281118150626,0
601,1.48278481243908,0
602,1.48275857778669,0
603,1.48273247755622,0
604,1.48270647803265,0
605,1.48268064666671,0
606,1.48265491602058,0
607,1.4826293198234,0
608,1.48260385808212,0
609,1.48257853080368,0
610,1.48255330426936,0
611,1.48252821221048,0
612,1.48250325463386,0
613,1.482478397819,0
614,1.48245367549883,0
615,1.48242905395166,0
616,1.48240456691148,0
617,1.48238021438496,0
618,1.48235596264865,0
619,1.48233181170749,0
620,1.48230779529759,0
621,1.48228391342549,0
622,1.48226013236544,0
623,1.48223645212227,0
624,1.48221290643416,0
625,1.48218946157365,0
626,1.48216611754553,0
627,1.4821429080895,0
628,1.48211979947641,0
629,1.48209679171099,0
630,1.48207391853443,0
631,1.48205114621595,0
632,1.48202847476018,0
633,1.48200590417177,0
634,1.48198343445532,0
635,1.4819610993545,0
636,1.48193883139622,0
637,1.48191669806369,0
638,1.48189466562236,0
639,1.48187273407672,0
640,1.48185090343125,0
641,1.48182917369041,0
642,1.48180754485864,0
643,1.48178601694037,0
644,1.48176458993998,0
645,1.48174326386186,0
646,1.48172203871036,0
647,1.48170091448983,0
648,1.48167985745909,0
649,1.48165893511294,0
650,1.48163811371063,0
651,1.48161735950953,0
652,1.48159670625984,0
653,1.48157615396577,0
654,1.48155570263153,0
655,1.48153531851252,0
656,1.48151506911,0
657,1.48149488693009,0
658,1.4814748057257,0
659,1.48145479175033,0
660,1.48143487875775,0
661,1.48141506675206,0
662,1.48139535573729,0
663,1.48137571196506,0
664,1.48135616919092,0
665,1.48133672741885,0
666,1.4813173528991,0
667,1.4812980456343,0
668,1.48127887313632,0
669,1.48125973414523,0
670,1.4812407299288,0
671,1.48122179298038,0
672,1.48120292330254,0
673,1.48118415465465,0
674,1.48116545328333,0
675,1.48114685294875,0
676,1.48112831989669,0
677,1.48110988788813,0
678,1.48109152316796,0
679,1.48107325949799,0
680,1.48105506312223,0
681,1.48103693404317,0
682,1.48101890602382,0
683,1.48100094530692,0
684,1.48098305189492,0
685,1.48096525955203,0
686,1.48094753451971,0
687,1.48092987680038,0
688,1.48091232015943,0
689,1.48089483083709,0
690,1.48087740883572,0
691,1.48086005415772,0
692,1.48084280057,0
693,1.4808255805462,0
694,1.48080846161818,0
695,1.48079144378944,0
696,1.48077445953123,0
697,1.48075757637771,0
698,1.48074072679858,0
699,1.48072397832952,0
700,1.4807072972063,0
701,1.48069068343122,0
702,1.48067413700652,0
703,1.48065769170325,0
704,1.48064127998648,0
705,1.48062496939637,0
706,1.48060869239648,0
707,1.48059251652843,0
708,1.4805763742543,0
709,1.48056033311716,0
710,1.48054432557759,0
711,1.48052841918012,0
712,1.48051258015594,0
713,1.48049677473475,0
714,1.48048107046325,0
715,1.48046539979832,0
716,1.48044983028808,0
717,1.48043429438797,0
718,1.4804188596475,0
719,1.48040345852068,0
720,1.4803881247835,0
721,1.48037285843804,0
722,1.48035765948638,0
723,1.48034252793061,0
724,1.48032742999649,0
725,1.48031243323834,0
726,1.48029747010525,0
727,1.48028257437558,0
728,1.48026774605137,0
729,1.48025298513464,0
730,1.4802382916274,0
731,1.48022363175299,0
732,1.48020903929141,0
733,1.48019451424467,0
734,1.48018005661473,0
735,1.48016563262359,0
736,1.48015130983288,0
737,1.48013702068423,0
738,1.48012276517862,0
739,1.48010861087962,0
740,1.48009449022689,0
741,1.48008040322139,0
742,1.48006641742862,0
743,1.48005246528628,0
744,1.48003858057822,0
745,1.48002472952313,0
746,1.48001094590547,0
747,1.47999722972714,0
748,1.47998354720585,0
749,1.479969932127,0
750,1.47995638449246,0
751,1.47994287051899,0
752,1.47992942399291,0
753,1.47991601113036,0
754,1.47990266571826,0
755,1.47988938775842,0
756,1.47987614346607,0
757,1.47986296662901,0
758,1.47984982346183,0
759,1.47983674775294,0
760,1.47982370571633,0
761,1.47981073114098,0
762,1.47979779024027,0
763,1.47978491680379,0
764,1.4797720770443,0
765,1.47975930475196,0
766,1.47974656613895,0
767,1.47973389499599,0
768,1.47972125753467,0
769,1.4797086875463,0
770,1.47969615124187,0
771,1.47968368241324,0
772,1.47967124727083,0
773,1.47965884581548,0
774,1.47964651183991,0
775,1.47963424534579,0
776,1.47962197874998,0
777,1.47960977963786,0
778,1.47959764801111,0
779,1.47958555007813,0
780,1.47957348583975,0
781,1.4795614890906,0
782,1.47954952603825,0
783,1.4795375966835,0
784,1.4795257348218,0
785,1.47951390665989,0
786,1.47950211219856,0
787,1.47949038523405,0
788,1.47947869197228,0
789,1.47946706620999,0
790,1.47945544035635,0
791,1.47944388200432,0
792,1.47943239115547,0
793,1.47942090021738,0
794,1.47940947678457,0
795,1.47939808706109,0
796,1.47938676484549,0
797,1.47937544254324,0
798,1.47936418775094,0
799,1.47935296667158,0
800,1.47934181310473,0
801,1.47933069325286,0
802,1.47931957331741,0
803,1.47930855469709,0
804,1.4792975359947,0
805,1.47928658481039,0
806,1.47927563354501,0
807,1.47926474979971,0
808,1.47925393357598,0
809,1.47924311727315,0
810,1.47923233469256,0
811,1.47922161963649,0
812,1.47921093830461,0
813,1.47920029069765,0
814,1.47918967681633,0
815,1.47917913046392,0
816,1.47916858403632,0
817,1.47915810513954,0
818,1.47914765997178,0
819,1.47913724853375,0
820,1.47912687082616,0
821,1.47911652684973,0
822,1.47910625040935,0
823,1.47909597389757,0
824,1.47908576492372,0
825,1.47907555587941,0
826,1.4790654143749,0
827,1.47905530660621,0
828,1.47904523257404,0
829,1.47903519227907,0
830,1.479025185722,0
831,1.4790152129035,0
832,1.47900527382427,0
833,1.4789954022917,0
834,1.47898553069325,0
835,1.47897569283609,0
836,1.4789659225283,0
837,1.47895615215597,0
838,1.4789464493348,0
839,1.47893674644996,0
840,1.47892711111806,0
841,1.47891747572338,0
842,1.47890790788338,0
843,1.47889837379044,0
844,1.47888883963603,0
845,1.47887937303892,0
846,1.47886990638122,0
847,1.47886050728255,0
848,1.47885114193417,0
849,1.47884177652648,0
850,1.47883247868039,0
851,1.47882318077585,0
852,1.4788139504346,0
853,1.47880472003575,0
854,1.47879552339057,0
855,1.47878639431123,0
856,1.47877726517552,0
857,1.47876816979539,0
858,1.47875914198358,0
859,1.47875011411665,0
860,1.47874112000715,0
861,1.4787321596557,0
