scenario,comparison,endpoint,paired_n,delta_AE_nm,stratified_ci95_low_nm,stratified_ci95_high_nm,bootstrap_iterations,bootstrap_seed
gaussian,E3-E0,mean,1800,0.0085971246507751,0.0051319419052237,0.0120212815636137,4000,2567447751
gaussian,E3-E0,q90,1800,0.0272190312569137,0.0004868915961848,0.0542260865809508,4000,2167686152
gaussian,E3-E0,q95,1800,0.02830188670288,0.0003604670387733,0.0612722128651223,4000,1654213015
gaussian,E3-E1,mean,1800,0.000218875323233,3.693077290154029e-05,0.0003931764182205,4000,748701508
gaussian,E3-E1,q90,1800,0.0036281479465174,-0.003053188638364,0.0062531692623675,4000,93850480
gaussian,E3-E1,q95,1800,-0.0047799389839611,-0.0075529108776777,0.0065628253864416,4000,3149373826
impulsive,E3-E0,mean,1800,-1.249558033781318,-1.8191037931663627,-0.8324936862141086,4000,1180125591
impulsive,E3-E0,q90,1800,-1.5672225989015318,-1.6672057079199107,-1.4703838715280164,4000,4215042738
impulsive,E3-E0,q95,1800,-2.0403228645056712,-2.200473731090763,-1.8575453004309708,4000,3367013830
impulsive,E3-E1,mean,1800,-0.0136341875257239,-0.0173141543132334,-0.0100927748229861,4000,731958356
impulsive,E3-E1,q90,1800,-0.0416994496915776,-0.0589053899695643,-0.0295300555001925,4000,2651872920
impulsive,E3-E1,q95,1800,-0.0621363451161755,-0.0820878838246585,-0.033403161666331,4000,1556888476
baseline_drift,E3-E0,mean,1800,0.161382661288711,0.1482502469965594,0.1747609480628789,4000,1968015196
baseline_drift,E3-E0,q90,1800,0.4431565784730411,0.2438566112233064,0.5636938203880595,4000,4240837732
baseline_drift,E3-E0,q95,1800,0.463166270619844,0.2155039666741517,0.8024128475938932,4000,3234171142
baseline_drift,E3-E1,mean,1800,0.0737341443763268,0.0658629661653946,0.0819302201595936,4000,2018567411
baseline_drift,E3-E1,q90,1800,0.2518998688428571,0.0731231590629412,0.3284569772031993,4000,963762744
baseline_drift,E3-E1,q95,1800,0.204896130570134,0.0523875778340956,0.4585983608737694,4000,997427630
mixed,E3-E0,mean,1800,-3.011587706681177,-4.064641140201696,-2.0632794630703577,4000,1996719545
mixed,E3-E0,q90,1800,-0.8647338363106716,-1.4955213621519274,-0.3916677415562234,4000,3091929083
mixed,E3-E0,q95,1800,-2.2459252253587785,-3.0702084750578837,-1.6259450732201903,4000,3898052861
mixed,E3-E1,mean,1800,-0.0134720011911224,-0.0274108896150821,-0.0001842168897728,4000,3668814064
mixed,E3-E1,q90,1800,0.0146355055592781,-0.2372815105921038,0.1928050150333165,4000,3041500249
mixed,E3-E1,q95,1800,-0.1610675384531994,-0.3500248356042957,0.1991466343889652,4000,970650174
