rule_id,scenario,accepted,improved,worsened,accepted_only_mean_delta_AE
V2,baseline_drift,213,143,70,-0.0210940279397482
V2,gaussian,149,69,80,0.0110040606765707
V2,impulsive,47,3,44,0.0084226484986842
V2,mixed,156,109,47,-0.0770134465384473
Fine-q50,baseline_drift,183,131,52,-0.0292737464349779
Fine-q50,gaussian,53,24,29,0.0156299995465967
Fine-q50,impulsive,7,2,5,-0.0108685553554924
Fine-q50,mixed,116,83,33,-0.0881965021046481
Fine-q75,baseline_drift,208,142,66,-0.0225644818413833
Fine-q75,gaussian,102,50,52,0.0049974682410263
Fine-q75,impulsive,16,3,13,-0.0001861345884464
Fine-q75,mixed,146,102,44,-0.0801961444503652
Fine-q90,baseline_drift,213,143,70,-0.0210940279397482
Fine-q90,gaussian,133,62,71,0.0093028203135726
Fine-q90,impulsive,30,3,27,0.0071784331240526
Fine-q90,mixed,156,109,47,-0.0770134465384473
