contrast,n,mean_delta_AE_nm,ci95_low_nm,ci95_high_nm,bootstrap_iterations,bootstrap_seed
V2_final_minus_E3,7200,-0.0019301433564637,-0.0028602984477823,-0.001005166697556,4000,2447039834
Fine_q75_final_minus_E3,7200,-0.0023350451067655,-0.0032467668548132,-0.0014579481087902,4000,201993792
Fine_q75_final_minus_V2_final,7200,-0.0004049017503017,-0.0007150221821983,-0.0001038643505732,4000,1996729739
gaussian:V2_final_minus_E3,1800,0.0025288357725206,0.0010189577968368,0.0040394152198701,4000,3693202641
gaussian:Fine_q75_final_minus_E3,1800,0.001058553072123,-0.0001526276650071,0.0023305824381968,4000,3809240877
gaussian:Fine_q75_final_minus_V2_final,1800,-0.0014702827003976,-0.0023994550690196,-0.000580336861631,4000,2354771947
impulsive:V2_final_minus_E3,1800,0.0001774549167709,-6.328408913974294e-05,0.000435525699989,4000,667858299
impulsive:Fine_q75_final_minus_E3,1800,0.0001358669936687,-6.019192019961553e-05,0.0003467345535682,4000,2745986770
impulsive:Fine_q75_final_minus_V2_final,1800,-4.158792310221315e-05,-0.0001596961218582,0.0001207606522044,4000,2050972735
baseline_drift:V2_final_minus_E3,1800,-0.0023440472137929,-0.0034026320874999,-0.0012789041197214,4000,3126856649
baseline_drift:Fine_q75_final_minus_E3,1800,-0.0023440472137929,-0.003407299970863,-0.0012924110011028,4000,2041407023
baseline_drift:Fine_q75_final_minus_V2_final,1800,0.0,0.0,0.0,4000,1923892280
mixed:V2_final_minus_E3,1800,-0.0080828169013535,-0.0113903750466928,-0.0049185870918044,4000,3089453924
mixed:Fine_q75_final_minus_E3,1800,-0.0081905532790608,-0.0113008184474995,-0.0051557656948466,4000,2268269867
mixed:Fine_q75_final_minus_V2_final,1800,-0.0001077363777073,-0.0009770077605432,0.000752163577757,4000,3558402198
